date_and_time_UTC,callrate,LFcallrate,HFcallrate
2025-06-21 08:40:00+00:00,0.0,0.0,0.0
2025-06-21 08:50:00+00:00,0.0,0.0,0.0
2025-06-21 09:00:00+00:00,0.0,0.0,0.0
2025-06-21 09:10:00+00:00,0.0,0.0,0.0
2025-06-21 09:20:00+00:00,0.0,0.0,0.0
2025-06-21 09:30:00+00:00,0.0,0.0,0.0
2025-06-21 09:40:00+00:00,0.0,0.0,0.0
2025-06-21 09:50:00+00:00,4.4,0.0,4.4
2025-06-21 10:00:00+00:00,0.0,0.0,0.0
2025-06-21 10:10:00+00:00,0.0,0.0,0.0
2025-06-21 10:20:00+00:00,0.0,0.0,0.0
2025-06-21 10:30:00+00:00,0.0,0.0,0.0
2025-06-21 10:40:00+00:00,0.0,0.0,0.0
2025-06-21 10:50:00+00:00,0.0,0.0,0.0
2025-06-21 11:00:00+00:00,0.0,0.0,0.0
2025-06-21 11:10:00+00:00,0.0,0.0,0.0
2025-06-21 11:20:00+00:00,0.0,0.0,0.0
2025-06-21 11:30:00+00:00,0.0,0.0,0.0
2025-06-21 11:40:00+00:00,0.0,0.0,0.0
2025-06-21 11:50:00+00:00,0.0,0.0,0.0
2025-06-21 12:00:00+00:00,0.0,0.0,0.0
2025-06-21 12:10:00+00:00,0.0,0.0,0.0
2025-06-21 12:20:00+00:00,0.0,0.0,0.0
2025-06-21 12:30:00+00:00,0.2,0.2,0.0
2025-06-21 12:40:00+00:00,0.0,0.0,0.0
2025-06-21 12:50:00+00:00,0.0,0.0,0.0
2025-06-21 13:00:00+00:00,0.0,0.0,0.0
2025-06-21 13:10:00+00:00,0.2,0.2,0.0
2025-06-21 13:20:00+00:00,0.2,0.2,0.0
2025-06-21 13:30:00+00:00,0.0,0.0,0.0
2025-06-21 13:40:00+00:00,0.0,0.0,0.0
2025-06-21 13:50:00+00:00,0.0,0.0,0.0
2025-06-21 14:00:00+00:00,0.0,0.0,0.0
2025-06-21 14:10:00+00:00,0.0,0.0,0.0
2025-06-21 14:20:00+00:00,0.0,0.0,0.0
2025-06-21 14:30:00+00:00,0.0,0.0,0.0
2025-06-21 14:40:00+00:00,0.0,0.0,0.0
2025-06-21 14:50:00+00:00,0.0,0.0,0.0
2025-06-21 15:00:00+00:00,0.0,0.0,0.0
2025-06-21 15:10:00+00:00,0.2,0.2,0.0
2025-06-21 15:20:00+00:00,0.0,0.0,0.0
2025-06-21 15:30:00+00:00,0.0,0.0,0.0
2025-06-21 15:40:00+00:00,0.0,0.0,0.0
2025-06-21 15:50:00+00:00,0.2,0.2,0.0
2025-06-21 16:00:00+00:00,0.0,0.0,0.0
2025-06-21 16:10:00+00:00,0.0,0.0,0.0
2025-06-21 16:20:00+00:00,0.0,0.0,0.0
2025-06-21 16:30:00+00:00,0.2,0.2,0.0
2025-06-21 16:40:00+00:00,0.0,0.0,0.0
2025-06-21 16:50:00+00:00,0.0,0.0,0.0
2025-06-21 17:00:00+00:00,0.0,0.0,0.0
2025-06-21 17:10:00+00:00,0.0,0.0,0.0
2025-06-21 17:20:00+00:00,0.0,0.0,0.0
2025-06-21 17:30:00+00:00,0.0,0.0,0.0
2025-06-21 17:40:00+00:00,0.0,0.0,0.0
2025-06-21 17:50:00+00:00,0.0,0.0,0.0
2025-06-21 18:00:00+00:00,0.0,0.0,0.0
2025-06-21 18:10:00+00:00,0.0,0.0,0.0
2025-06-21 18:20:00+00:00,0.0,0.0,0.0
2025-06-21 18:30:00+00:00,0.0,0.0,0.0
2025-06-21 18:40:00+00:00,0.0,0.0,0.0
2025-06-21 18:50:00+00:00,0.0,0.0,0.0
2025-06-21 19:00:00+00:00,0.0,0.0,0.0
2025-06-21 19:10:00+00:00,0.0,0.0,0.0
2025-06-21 19:20:00+00:00,0.0,0.0,0.0
2025-06-21 19:30:00+00:00,0.0,0.0,0.0
2025-06-21 19:40:00+00:00,0.0,0.0,0.0
2025-06-21 19:50:00+00:00,0.0,0.0,0.0
2025-06-21 20:00:00+00:00,0.0,0.0,0.0
2025-06-21 20:10:00+00:00,0.0,0.0,0.0
2025-06-21 20:20:00+00:00,0.0,0.0,0.0
2025-06-21 20:30:00+00:00,0.0,0.0,0.0
2025-06-21 20:40:00+00:00,0.0,0.0,0.0
2025-06-21 20:50:00+00:00,0.0,0.0,0.0
2025-06-21 21:00:00+00:00,0.0,0.0,0.0
2025-06-21 21:10:00+00:00,0.0,0.0,0.0
2025-06-21 21:20:00+00:00,0.0,0.0,0.0
2025-06-21 21:30:00+00:00,0.0,0.0,0.0
2025-06-21 21:40:00+00:00,0.0,0.0,0.0
2025-06-21 21:50:00+00:00,0.0,0.0,0.0
2025-06-21 22:00:00+00:00,0.0,0.0,0.0
2025-06-21 22:10:00+00:00,0.0,0.0,0.0
2025-06-21 22:20:00+00:00,0.0,0.0,0.0
2025-06-21 22:30:00+00:00,0.0,0.0,0.0
2025-06-21 22:40:00+00:00,0.0,0.0,0.0
2025-06-21 22:50:00+00:00,0.0,0.0,0.0
2025-06-21 23:00:00+00:00,0.0,0.0,0.0
2025-06-21 23:10:00+00:00,0.0,0.0,0.0
2025-06-21 23:20:00+00:00,0.0,0.0,0.0
2025-06-21 23:30:00+00:00,0.0,0.0,0.0
2025-06-21 23:40:00+00:00,0.0,0.0,0.0
2025-06-21 23:50:00+00:00,0.0,0.0,0.0
2025-06-22 00:00:00+00:00,0.0,0.0,0.0
2025-06-22 00:10:00+00:00,0.0,0.0,0.0
2025-06-22 00:20:00+00:00,0.0,0.0,0.0
2025-06-22 00:30:00+00:00,0.0,0.0,0.0
2025-06-22 00:40:00+00:00,0.0,0.0,0.0
2025-06-22 00:50:00+00:00,0.0,0.0,0.0
2025-06-22 01:00:00+00:00,0.0,0.0,0.0
2025-06-22 01:10:00+00:00,0.0,0.0,0.0
2025-06-22 01:20:00+00:00,0.0,0.0,0.0
2025-06-22 01:30:00+00:00,0.0,0.0,0.0
2025-06-22 01:40:00+00:00,0.0,0.0,0.0
2025-06-22 01:50:00+00:00,0.0,0.0,0.0
2025-06-22 02:00:00+00:00,0.0,0.0,0.0
2025-06-22 02:10:00+00:00,0.0,0.0,0.0
2025-06-22 02:20:00+00:00,0.0,0.0,0.0
2025-06-22 02:30:00+00:00,0.0,0.0,0.0
2025-06-22 02:40:00+00:00,0.0,0.0,0.0
2025-06-22 02:50:00+00:00,0.0,0.0,0.0
2025-06-22 03:00:00+00:00,0.0,0.0,0.0
2025-06-22 03:10:00+00:00,0.0,0.0,0.0
2025-06-22 03:20:00+00:00,0.0,0.0,0.0
2025-06-22 03:30:00+00:00,0.0,0.0,0.0
2025-06-22 03:40:00+00:00,0.0,0.0,0.0
2025-06-22 03:50:00+00:00,0.0,0.0,0.0
2025-06-22 04:00:00+00:00,0.0,0.0,0.0
2025-06-22 04:10:00+00:00,0.0,0.0,0.0
2025-06-22 04:20:00+00:00,0.0,0.0,0.0
2025-06-22 04:30:00+00:00,0.0,0.0,0.0
2025-06-22 04:40:00+00:00,0.0,0.0,0.0
2025-06-22 04:50:00+00:00,7.0,7.0,0.0
2025-06-22 05:00:00+00:00,0.2,0.2,0.0
2025-06-22 05:10:00+00:00,2.6,2.6,0.0
2025-06-22 05:20:00+00:00,0.0,0.0,0.0
2025-06-22 05:30:00+00:00,18.6,18.6,0.0
2025-06-22 05:40:00+00:00,3.2,0.0,3.2
2025-06-22 05:50:00+00:00,22.6,22.6,0.0
2025-06-22 06:00:00+00:00,9.0,8.8,0.2
2025-06-22 06:10:00+00:00,12.0,0.0,12.0
2025-06-22 06:20:00+00:00,0.0,0.0,0.0
2025-06-22 06:30:00+00:00,0.0,0.0,0.0
2025-06-22 06:40:00+00:00,1.4,0.0,1.4
2025-06-22 06:50:00+00:00,0.0,0.0,0.0
2025-06-22 07:00:00+00:00,0.0,0.0,0.0
2025-06-22 07:10:00+00:00,0.0,0.0,0.0
2025-06-22 07:20:00+00:00,1.2,1.2,0.0
2025-06-22 07:30:00+00:00,0.2,0.2,0.0
2025-06-22 07:40:00+00:00,0.0,0.0,0.0
2025-06-22 07:50:00+00:00,0.8,0.8,0.0
2025-06-22 08:00:00+00:00,0.0,0.0,0.0
2025-06-22 08:10:00+00:00,0.0,0.0,0.0
2025-06-22 08:20:00+00:00,0.0,0.0,0.0
2025-06-22 08:30:00+00:00,0.0,0.0,0.0
2025-06-22 08:40:00+00:00,0.0,0.0,0.0
2025-06-22 08:50:00+00:00,0.0,0.0,0.0
2025-06-22 09:00:00+00:00,0.0,0.0,0.0
2025-06-22 09:10:00+00:00,0.0,0.0,0.0
2025-06-22 09:20:00+00:00,0.0,0.0,0.0
2025-06-22 09:30:00+00:00,0.0,0.0,0.0
2025-06-22 09:40:00+00:00,0.8,0.8,0.0
2025-06-22 09:50:00+00:00,0.0,0.0,0.0
2025-06-22 10:00:00+00:00,1.4,0.0,1.4
2025-06-22 10:10:00+00:00,0.0,0.0,0.0
2025-06-22 10:20:00+00:00,0.0,0.0,0.0
2025-06-22 10:30:00+00:00,0.0,0.0,0.0
2025-06-22 10:40:00+00:00,0.0,0.0,0.0
2025-06-22 10:50:00+00:00,0.0,0.0,0.0
2025-06-22 11:00:00+00:00,0.0,0.0,0.0
2025-06-22 11:10:00+00:00,7.2,0.0,7.2
2025-06-22 11:20:00+00:00,1.0,1.0,0.0
2025-06-22 11:30:00+00:00,2.6,0.0,2.6
2025-06-22 11:40:00+00:00,0.0,0.0,0.0
2025-06-22 11:50:00+00:00,0.0,0.0,0.0
2025-06-22 12:00:00+00:00,0.0,0.0,0.0
2025-06-22 12:10:00+00:00,0.0,0.0,0.0
2025-06-22 12:20:00+00:00,0.0,0.0,0.0
2025-06-22 12:30:00+00:00,0.0,0.0,0.0
2025-06-22 12:40:00+00:00,0.0,0.0,0.0
2025-06-22 12:50:00+00:00,0.0,0.0,0.0
2025-06-22 13:00:00+00:00,0.0,0.0,0.0
2025-06-22 13:10:00+00:00,0.0,0.0,0.0
2025-06-22 13:20:00+00:00,0.0,0.0,0.0
2025-06-22 13:30:00+00:00,0.0,0.0,0.0
2025-06-22 13:40:00+00:00,0.0,0.0,0.0
2025-06-22 13:50:00+00:00,0.0,0.0,0.0
2025-06-22 14:00:00+00:00,0.0,0.0,0.0
2025-06-22 14:10:00+00:00,0.0,0.0,0.0
2025-06-22 14:20:00+00:00,0.2,0.2,0.0
2025-06-22 14:30:00+00:00,0.0,0.0,0.0
2025-06-22 14:40:00+00:00,0.2,0.2,0.0
2025-06-22 14:50:00+00:00,0.0,0.0,0.0
2025-06-22 15:00:00+00:00,0.0,0.0,0.0
2025-06-22 15:10:00+00:00,0.0,0.0,0.0
2025-06-22 15:20:00+00:00,0.0,0.0,0.0
2025-06-22 15:30:00+00:00,0.0,0.0,0.0
2025-06-22 15:40:00+00:00,0.0,0.0,0.0
2025-06-22 15:50:00+00:00,0.0,0.0,0.0
2025-06-22 16:00:00+00:00,0.0,0.0,0.0
2025-06-22 16:10:00+00:00,0.0,0.0,0.0
2025-06-22 16:20:00+00:00,0.0,0.0,0.0
2025-06-22 16:30:00+00:00,0.0,0.0,0.0
2025-06-22 16:40:00+00:00,0.0,0.0,0.0
2025-06-22 16:50:00+00:00,0.0,0.0,0.0
2025-06-22 17:00:00+00:00,0.0,0.0,0.0
2025-06-22 17:10:00+00:00,0.0,0.0,0.0
2025-06-22 17:20:00+00:00,0.0,0.0,0.0
2025-06-22 17:30:00+00:00,0.0,0.0,0.0
2025-06-22 17:40:00+00:00,0.0,0.0,0.0
2025-06-22 17:50:00+00:00,0.0,0.0,0.0
2025-06-22 18:00:00+00:00,0.0,0.0,0.0
2025-06-22 18:10:00+00:00,0.0,0.0,0.0
2025-06-22 18:20:00+00:00,0.0,0.0,0.0
2025-06-22 18:30:00+00:00,0.0,0.0,0.0
2025-06-22 18:40:00+00:00,0.0,0.0,0.0
2025-06-22 18:50:00+00:00,0.0,0.0,0.0
2025-06-22 19:00:00+00:00,0.0,0.0,0.0
2025-06-22 19:10:00+00:00,0.0,0.0,0.0
2025-06-22 19:20:00+00:00,0.2,0.2,0.0
2025-06-22 19:30:00+00:00,0.0,0.0,0.0
2025-06-22 19:40:00+00:00,0.0,0.0,0.0
2025-06-22 19:50:00+00:00,0.0,0.0,0.0
2025-06-22 20:00:00+00:00,0.0,0.0,0.0
2025-06-22 20:10:00+00:00,0.0,0.0,0.0
2025-06-22 20:20:00+00:00,0.0,0.0,0.0
2025-06-22 20:30:00+00:00,0.0,0.0,0.0
2025-06-22 20:40:00+00:00,0.0,0.0,0.0
2025-06-22 20:50:00+00:00,0.0,0.0,0.0
2025-06-22 21:00:00+00:00,0.0,0.0,0.0
2025-06-22 21:10:00+00:00,0.0,0.0,0.0
2025-06-22 21:20:00+00:00,0.0,0.0,0.0
2025-06-22 21:30:00+00:00,0.0,0.0,0.0
2025-06-22 21:40:00+00:00,0.0,0.0,0.0
2025-06-22 21:50:00+00:00,0.0,0.0,0.0
2025-06-22 22:00:00+00:00,0.0,0.0,0.0
2025-06-22 22:10:00+00:00,0.0,0.0,0.0
2025-06-22 22:20:00+00:00,0.0,0.0,0.0
2025-06-22 22:30:00+00:00,0.0,0.0,0.0
2025-06-22 22:40:00+00:00,0.0,0.0,0.0
2025-06-22 22:50:00+00:00,0.0,0.0,0.0
2025-06-22 23:00:00+00:00,0.0,0.0,0.0
2025-06-22 23:10:00+00:00,0.0,0.0,0.0
2025-06-22 23:20:00+00:00,0.0,0.0,0.0
2025-06-22 23:30:00+00:00,0.0,0.0,0.0
2025-06-22 23:40:00+00:00,0.0,0.0,0.0
2025-06-22 23:50:00+00:00,0.0,0.0,0.0
2025-06-23 00:00:00+00:00,0.0,0.0,0.0
2025-06-23 00:10:00+00:00,0.0,0.0,0.0
2025-06-23 00:20:00+00:00,0.0,0.0,0.0
2025-06-23 00:30:00+00:00,0.0,0.0,0.0
2025-06-23 00:40:00+00:00,0.0,0.0,0.0
2025-06-23 00:50:00+00:00,0.0,0.0,0.0
2025-06-23 01:00:00+00:00,0.0,0.0,0.0
2025-06-23 01:10:00+00:00,0.0,0.0,0.0
2025-06-23 01:20:00+00:00,0.0,0.0,0.0
2025-06-23 01:30:00+00:00,0.0,0.0,0.0
2025-06-23 01:40:00+00:00,0.2,0.2,0.0
2025-06-23 01:50:00+00:00,0.0,0.0,0.0
2025-06-23 02:00:00+00:00,0.0,0.0,0.0
2025-06-23 02:10:00+00:00,0.0,0.0,0.0
